x,y,z,vx,vy,vz,pressure,type
-7.34712030e-04,3.40879698e-04,-1.19229025e-03,1.29295241e-02,1.92787045e-02,2.67137409e-03,0.00000000e+00,0
-6.64822504e-04,2.97237887e-04,-1.21616576e-03,-7.52016118e-03,-7.22380533e-03,-1.10871484e-02,0.00000000e+00,0
-3.92780912e-04,3.44214727e-04,-1.35214651e-03,1.44630155e-02,2.26621216e-02,7.80759726e-03,0.00000000e+00,0
-3.25027308e-04,3.81530930e-04,-1.37915729e-03,1.36952308e-02,1.50097611e-02,4.49510140e-02,0.00000000e+00,0
-3.46927773e-04,1.79963438e-04,-1.29153775e-03,3.22933881e-03,-1.56812282e-02,2.09308367e-02,6.90850719e+02,0
-1.11569373e-04,4.68914930e-04,-1.41472471e-03,-1.53767242e-02,1.68782048e-02,-2.36187321e-02,1.17554197e+03,0
-1.89667488e-04,2.35533888e-04,-1.35488983e-03,-5.48787382e-02,-3.56237261e-02,-1.87588360e-02,1.16875239e+03,0
-3.05707235e-05,4.07870034e-04,-1.41221141e-03,8.19040115e-03,4.52797240e-02,-2.89144789e-02,1.28379889e+03,0
1.05007468e-05,3.29287281e-04,-1.39801027e-03,1.78075886e-02,5.12873243e-02,-4.51400180e-02,1.42817981e+03,0
2.26777446e-04,4.63327062e-04,-1.40445346e-03,-1.58082088e-02,2.97177532e-02,-4.86690652e-03,1.32005273e+03,0
3.23509114e-04,3.46939958e-04,-1.36334697e-03,2.32016570e-02,-1.04606652e-02,-1.91951019e-02,1.55213607e+03,0
4.34938522e-04,5.70883666e-04,-1.35563894e-03,-2.05918382e-03,4.54527159e-02,-5.02036519e-03,0.00000000e+00,0
6.87727520e-04,3.98909262e-04,-1.22636026e-03,1.65492065e-02,-2.24410561e-02,-6.05031847e-03,1.03020494e+03,0
6.90164391e-04,2.62194104e-04,-1.18795834e-03,-2.71294087e-02,3.76890235e-02,6.23996857e-02,0.00000000e+00,0
7.73283601e-04,2.74789572e-04,-1.13801619e-03,2.02378091e-03,3.40198872e-03,-6.09590251e-03,0.00000000e+00,0
8.38351230e-04,3.23016462e-04,-1.11106494e-03,2.46986318e-02,2.17913088e-03,1.44669506e-02,0.00000000e+00,0
-1.21698710e-03,5.38444879e-04,-7.26028533e-04,6.89804397e-03,-1.00666248e-02,2.96357031e-04,0.00000000e+00,0
-1.03998991e-03,6.14226596e-04,-9.73032881e-04,-2.73907362e-02,2.64467895e-02,-2.27151381e-02,1.33868387e+03,0
-1.06751745e-03,4.14681319e-04,-9.29623931e-04,-7.82234966e-03,-3.83955574e-02,2.71703623e-02,0.00000000e+00,0
-8.44397142e-04,5.46805331e-04,-1.14081004e-03,-1.65053080e-03,-1.70390084e-02,-2.22363248e-02,1.15679952e+03,0
-6.99790983e-04,4.75834425e-04,-1.23568799e-03,1.83229455e-02,-5.16284100e-03,7.81299695e-04,0.00000000e+00,0
-7.49885215e-04,4.22618162e-04,-1.19998352e-03,2.58639194e-02,-8.49056197e-03,-2.71232078e-02,0.00000000e+00,0
-4.05622309e-04,4.29667664e-04,-1.36346041e-03,6.49946099e-03,1.52753255e-02,-9.18410747e-03,0.00000000e+00,0
-3.39562401e-04,4.70884505e-04,-1.38425804e-03,-2.88861408e-03,1.27591524e-02,2.30874327e-02,0.00000000e+00,0
-2.47758342e-04,3.63824673e-04,-1.39269457e-03,-4.16568904e-02,-8.60602783e-04,-3.85693258e-03,0.00000000e+00,0
-1.89670754e-04,4.98123762e-04,-1.40914474e-03,-2.99481182e-02,7.05018778e-03,2.34654329e-03,1.02451033e+03,0
-1.15090712e-04,5.57280787e-04,-1.41577450e-03,1.86787754e-02,5.39067467e-02,-2.80231372e-02,8.66640274e+02,0
-2.42376215e-04,2.91315681e-04,-1.36994136e-03,-1.85944127e-02,5.12781796e-03,2.92556085e-03,1.19098722e+03,0
-4.00318306e-05,5.07604080e-04,-1.41986552e-03,1.72662911e-02,2.09756144e-02,-4.87107861e-05,9.72100708e+02,0
2.05629680e-04,6.03123962e-04,-1.41356923e-03,1.12279084e-02,2.14910799e-02,4.14153748e-03,0.00000000e+00,0
3.03897805e-05,4.62194731e-04,-1.42322054e-03,4.04001424e-02,2.87708327e-02,-1.21342106e-03,0.00000000e+00,0
